record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
12667,4,25,1987,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
12824,5,28,1987,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
12842,5,28,1987,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
12877,5,28,1987,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
12888,6,30,1987,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
12938,6,30,1987,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
15197,12,13,1988,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
15331,1,10,1989,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
15950,4,2,1989,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
17026,1,29,1990,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
17513,5,24,1990,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
19424,12,7,1991,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
20280,8,29,1992,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
20335,9,26,1992,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
22710,9,23,1995,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
22885,10,28,1995,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
23677,4,14,1996,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
25687,5,10,1997,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
25726,5,10,1997,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
25747,5,10,1997,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
25759,5,10,1997,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
26836,9,27,1997,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
26997,10,25,1997,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
27041,10,25,1997,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
27266,11,22,1997,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
28045,6,27,1998,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
29895,10,9,1999,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
31975,4,21,2001,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
32081,5,26,2001,20,AH,NA,NA,NA,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
