record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
13921,1,24,1988,9,DO,F,34,47,Dipodomys,ordii,Rodent,Spectab exclosure
13936,1,24,1988,9,DO,M,37,50,Dipodomys,ordii,Rodent,Spectab exclosure
14100,2,22,1988,9,DO,F,37,50,Dipodomys,ordii,Rodent,Spectab exclosure
14113,2,22,1988,9,DO,M,37,48,Dipodomys,ordii,Rodent,Spectab exclosure
14114,2,22,1988,9,DO,M,37,54,Dipodomys,ordii,Rodent,Spectab exclosure
14143,2,22,1988,9,DO,F,37,60,Dipodomys,ordii,Rodent,Spectab exclosure
14260,3,21,1988,9,DO,F,36,50,Dipodomys,ordii,Rodent,Spectab exclosure
14499,5,15,1988,9,DO,M,33,52,Dipodomys,ordii,Rodent,Spectab exclosure
14589,6,12,1988,9,DO,M,38,NA,Dipodomys,ordii,Rodent,Spectab exclosure
14703,7,15,1988,9,DO,F,35,61,Dipodomys,ordii,Rodent,Spectab exclosure
14711,7,15,1988,9,DO,NA,NA,NA,Dipodomys,ordii,Rodent,Spectab exclosure
14790,8,10,1988,9,DO,M,36,53,Dipodomys,ordii,Rodent,Spectab exclosure
15403,1,11,1989,9,DO,F,36,59,Dipodomys,ordii,Rodent,Spectab exclosure
15567,2,5,1989,9,DO,M,36,50,Dipodomys,ordii,Rodent,Spectab exclosure
15788,3,14,1989,9,DO,M,36,54,Dipodomys,ordii,Rodent,Spectab exclosure
15843,4,1,1989,9,DO,F,37,56,Dipodomys,ordii,Rodent,Spectab exclosure
16362,7,30,1989,9,DO,F,34,38,Dipodomys,ordii,Rodent,Spectab exclosure
16456,9,4,1989,9,DO,F,36,49,Dipodomys,ordii,Rodent,Spectab exclosure
16459,9,4,1989,9,DO,M,36,50,Dipodomys,ordii,Rodent,Spectab exclosure
16494,10,7,1989,9,DO,F,36,49,Dipodomys,ordii,Rodent,Spectab exclosure
16661,11,5,1989,9,DO,M,36,51,Dipodomys,ordii,Rodent,Spectab exclosure
16666,11,5,1989,9,DO,F,36,48,Dipodomys,ordii,Rodent,Spectab exclosure
16805,12,5,1989,9,DO,M,36,49,Dipodomys,ordii,Rodent,Spectab exclosure
16814,12,5,1989,9,DO,F,36,51,Dipodomys,ordii,Rodent,Spectab exclosure
16825,12,5,1989,9,DO,M,37,51,Dipodomys,ordii,Rodent,Spectab exclosure
16933,1,7,1990,9,DO,M,35,52,Dipodomys,ordii,Rodent,Spectab exclosure
16934,1,7,1990,9,DO,M,37,50,Dipodomys,ordii,Rodent,Spectab exclosure
16936,1,7,1990,9,DO,F,35,49,Dipodomys,ordii,Rodent,Spectab exclosure
16949,1,7,1990,9,DO,M,36,42,Dipodomys,ordii,Rodent,Spectab exclosure
17054,1,30,1990,9,DO,M,36,51,Dipodomys,ordii,Rodent,Spectab exclosure
17057,1,30,1990,9,DO,M,37,49,Dipodomys,ordii,Rodent,Spectab exclosure
17078,1,30,1990,9,DO,M,36,44,Dipodomys,ordii,Rodent,Spectab exclosure
17176,2,25,1990,9,DO,F,36,49,Dipodomys,ordii,Rodent,Spectab exclosure
17213,2,25,1990,9,DO,M,35,46,Dipodomys,ordii,Rodent,Spectab exclosure
17362,3,30,1990,9,DO,F,36,53,Dipodomys,ordii,Rodent,Spectab exclosure
17612,6,22,1990,9,DO,M,35,41,Dipodomys,ordii,Rodent,Spectab exclosure
17694,7,22,1990,9,DO,M,34,47,Dipodomys,ordii,Rodent,Spectab exclosure
17777,8,17,1990,9,DO,M,36,47,Dipodomys,ordii,Rodent,Spectab exclosure
18380,2,17,1991,9,DO,F,37,48,Dipodomys,ordii,Rodent,Spectab exclosure
21848,10,13,1994,9,DO,F,37,48,Dipodomys,ordii,Rodent,Spectab exclosure
22137,3,5,1995,9,DO,M,34,50,Dipodomys,ordii,Rodent,Spectab exclosure
22195,4,2,1995,9,DO,F,37,38,Dipodomys,ordii,Rodent,Spectab exclosure
22200,4,2,1995,9,DO,M,38,55,Dipodomys,ordii,Rodent,Spectab exclosure
22256,4,30,1995,9,DO,M,39,55,Dipodomys,ordii,Rodent,Spectab exclosure
22267,4,30,1995,9,DO,F,38,56,Dipodomys,ordii,Rodent,Spectab exclosure
22481,7,21,1995,9,DO,M,38,55,Dipodomys,ordii,Rodent,Spectab exclosure
22487,7,21,1995,9,DO,F,37,56,Dipodomys,ordii,Rodent,Spectab exclosure
23050,12,3,1995,9,DO,M,35,37,Dipodomys,ordii,Rodent,Spectab exclosure
23088,12,3,1995,9,DO,M,38,46,Dipodomys,ordii,Rodent,Spectab exclosure
23182,12,22,1995,9,DO,M,37,47,Dipodomys,ordii,Rodent,Spectab exclosure
23193,12,22,1995,9,DO,F,39,NA,Dipodomys,ordii,Rodent,Spectab exclosure
23210,12,22,1995,9,DO,M,37,39,Dipodomys,ordii,Rodent,Spectab exclosure
23315,1,28,1996,9,DO,M,38,48,Dipodomys,ordii,Rodent,Spectab exclosure
23417,2,25,1996,9,DO,F,38,47,Dipodomys,ordii,Rodent,Spectab exclosure
23747,4,15,1996,9,DO,F,38,46,Dipodomys,ordii,Rodent,Spectab exclosure
23991,5,24,1996,9,DO,M,36,45,Dipodomys,ordii,Rodent,Spectab exclosure
24102,6,14,1996,9,DO,M,34,48,Dipodomys,ordii,Rodent,Spectab exclosure
24485,9,22,1996,9,DO,M,34,50,Dipodomys,ordii,Rodent,Spectab exclosure
24612,10,13,1996,9,DO,M,34,49,Dipodomys,ordii,Rodent,Spectab exclosure
24760,11,17,1996,9,DO,M,36,46,Dipodomys,ordii,Rodent,Spectab exclosure
24873,12,19,1996,9,DO,M,35,50,Dipodomys,ordii,Rodent,Spectab exclosure
25076,2,9,1997,9,DO,F,36,57,Dipodomys,ordii,Rodent,Spectab exclosure
25144,2,9,1997,9,DO,M,36,48,Dipodomys,ordii,Rodent,Spectab exclosure
