record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
22324,6,8,1995,4,DM,M,35,30,Dipodomys,merriami,Rodent,Control
22328,6,8,1995,4,DM,M,37,53,Dipodomys,merriami,Rodent,Control
22333,6,8,1995,4,DM,F,35,25,Dipodomys,merriami,Rodent,Control
22341,6,8,1995,4,DM,F,36,51,Dipodomys,merriami,Rodent,Control
22344,6,8,1995,4,DM,F,36,13,Dipodomys,merriami,Rodent,Control
22346,6,8,1995,4,DM,M,37,44,Dipodomys,merriami,Rodent,Control
22350,6,8,1995,4,DM,M,38,49,Dipodomys,merriami,Rodent,Control
22355,6,8,1995,4,DM,F,34,35,Dipodomys,merriami,Rodent,Control
22398,6,28,1995,4,DM,M,37,36,Dipodomys,merriami,Rodent,Control
22406,6,28,1995,4,DM,F,38,46,Dipodomys,merriami,Rodent,Control
22411,6,28,1995,4,DM,M,36,46,Dipodomys,merriami,Rodent,Control
22429,6,28,1995,4,DM,F,35,40,Dipodomys,merriami,Rodent,Control
22490,7,21,1995,4,DM,M,38,43,Dipodomys,merriami,Rodent,Control
22501,7,21,1995,4,DM,F,36,57,Dipodomys,merriami,Rodent,Control
22522,7,21,1995,4,DM,F,34,34,Dipodomys,merriami,Rodent,Control
22610,8,27,1995,4,DM,M,37,46,Dipodomys,merriami,Rodent,Control
22628,8,27,1995,4,DM,M,39,50,Dipodomys,merriami,Rodent,Control
22634,8,27,1995,4,DM,F,36,49,Dipodomys,merriami,Rodent,Control
22747,9,24,1995,4,DM,M,34,51,Dipodomys,merriami,Rodent,Control
22797,9,24,1995,4,DM,M,36,51,Dipodomys,merriami,Rodent,Control
22808,9,24,1995,4,DM,F,34,49,Dipodomys,merriami,Rodent,Control
22815,9,24,1995,4,DM,NA,NA,NA,Dipodomys,merriami,Rodent,Control
22932,10,29,1995,4,DM,M,36,47,Dipodomys,merriami,Rodent,Control
22951,10,29,1995,4,DM,M,37,48,Dipodomys,merriami,Rodent,Control
22960,10,29,1995,4,DM,F,36,34,Dipodomys,merriami,Rodent,Control
22972,10,29,1995,4,DM,F,37,53,Dipodomys,merriami,Rodent,Control
22977,10,29,1995,4,DM,M,37,50,Dipodomys,merriami,Rodent,Control
23061,12,3,1995,4,DM,M,38,53,Dipodomys,merriami,Rodent,Control
23067,12,3,1995,4,DM,M,36,51,Dipodomys,merriami,Rodent,Control
23097,12,3,1995,4,DM,M,37,40,Dipodomys,merriami,Rodent,Control
23109,12,3,1995,4,DM,F,38,63,Dipodomys,merriami,Rodent,Control
23112,12,3,1995,4,DM,F,39,53,Dipodomys,merriami,Rodent,Control
23175,12,22,1995,4,DM,M,NA,NA,Dipodomys,merriami,Rodent,Control
23183,12,22,1995,4,DM,F,37,52,Dipodomys,merriami,Rodent,Control
23190,12,22,1995,4,DM,M,40,50,Dipodomys,merriami,Rodent,Control
23194,12,22,1995,4,DM,M,36,45,Dipodomys,merriami,Rodent,Control
23201,12,22,1995,4,DM,M,35,43,Dipodomys,merriami,Rodent,Control
